"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","variable","name"
"X70",-0.164374829036919,0.112526665134716,0.0931647698252461,-0.0620370616814261,-0.0326488670930839,0.0750663893904397,"X70","r-posteriorcingulate"
"X71",-0.102091575875028,0.0415940179991297,0.0543442352229379,-0.0286418820299917,-0.0360249185831013,0.020287920503009,"X71","r-precentral"
"X72",-0.164367594514154,0.180052454092261,-0.0619756571223441,-0.0944749553926261,0.0281320375564839,-0.0333168990779617,"X72","r-precuneus"
"X73",-0.0648938035766674,0.193051502719941,0.322652637704035,-0.0654302852507597,-0.2516737529371,-0.129359624338479,"X73","r-rostralanteriorcingulate"
"X74",-0.133918130971952,-0.0677100841648497,0.158710768075386,-0.212272135886499,0.073009028812982,-0.100271550205925,"X74","r-rostralmiddlefrontal"
"X75",-0.167191935468255,-0.197286982665422,0.204785307079323,0.00291240996000323,-0.0886247225715174,0.0279023299101087,"X75","r-superiorfrontal"
"X76",-0.101508475668982,0.11399827247642,0.0124396027049612,-0.0714320736047954,0.0231371779895019,-0.107478876136911,"X76","r-superiorparietal"
"X77",-0.0781801854028821,0.11833012945828,0.11900589407073,-0.276524957033106,0.208218814661545,0.0580454753151889,"X77","r-superiortemporal"
"X78",-0.0734811901314425,-0.0295343881987366,0.313355848155954,-0.216732582857589,0.250632363459189,-0.153374860148938,"X78","r-supramarginal"
"X79",-0.0165398677726207,0.0459291085119967,0.110542924909393,-0.13974426421707,-0.0625660121683791,-0.0868151101473199,"X79","r-frontalpole"
"X80",-0.0156491529204561,0.127772221925747,0.101040880546056,0.0129750662122872,-0.0316673805613898,-0.0619705744223,"X80","r-temporalpole"
"X81",-0.0666403918425482,0.0887323546263743,-0.0330529430810776,-0.27835958989057,0.234444106618133,0.299209304472453,"X81","r-transversetemporal"
"X82",-0.0858208073317803,0.0133377809648379,0.100633097136219,-0.227780254086892,0.269071003259861,-0.0371932194646149,"X82","r-insula"
